"","player","TVORP","year","time"
"190","crittja01",-0.390909090909091,2008,"regular"
"191","odomla01",3.3961038961039,2008,"regular"
"192","arizatr01",1.90416666666667,2008,"regular"
"193","mbengdj01",-0.538461538461538,2008,"regular"
"194","gasolpa01",5.3,2008,"regular"
"195","newblir01",-0.25,2008,"regular"
"196","gasolpa01",5.01728395061728,2009,"regular"
"197","bryanko01",5.91585365853659,2009,"regular"
"198","odomla01",2.49615384615385,2009,"regular"
"199","bynuman01",1.838,2009,"regular"
"200","fishede01",1.33536585365854,2009,"regular"
"201","arizatr01",2.26219512195122,2009,"regular"
"202","radmavl01",0.947826086956522,2009,"regular"
"203","farmajo01",-0.221538461538462,2009,"regular"
"204","vujacsa01",0.925,2009,"regular"
"205","mihmch01",-0.516666666666667,2009,"regular"
"206","poweljo01",-1.06166666666667,2009,"regular"
"207","waltolu01",0.383076923076923,2009,"regular"
"208","mbengdj01",0.226086956521739,2009,"regular"
"209","yuesu01",-1.02,2009,"regular"
"210","morriad01",-0.85,2009,"regular"
"211","brownsh01",0.505555555555556,2009,"regular"
"212","johnsma02",6.46315789473684,1985,"post"
"213","scottby01",2.17894736842105,1985,"post"
"214","mcgeemi01",0.611764705882353,1985,"post"
"215","coopemi01",2.98947368421053,1985,"post"
"216","sprigla01",-0.2375,1985,"post"
"217","worthja01",3.76842105263158,1985,"post"
"218","abdulka01",4.98421052631579,1985,"post"
"219","mcadobo01",-1.08421052631579,1985,"post"
"220","kupchmi01",-0.3625,1985,"post"
"221","rambiku01",1.33157894736842,1985,"post"
"222","lestero01",-0.633333333333333,1985,"post"
"223","nevitch01",-0.1,1985,"post"
"224","johnsma02",9.07857142857143,1986,"post"
"225","scottby01",1.11428571428571,1986,"post"
"226","worthja01",2.13571428571429,1986,"post"
"227","coopemi01",3.05,1986,"post"
"228","abdulka01",4.92142857142857,1986,"post"
"229","lucasma01",-0.292857142857143,1986,"post"
"230","rambiku01",0.95,1986,"post"
"231","greenac01",-0.766666666666667,1986,"post"
"232","gudmupe01",-0.358333333333333,1986,"post"
"233","kupchmi01",0.3,1986,"post"
"234","mcgeemi01",-0.966666666666667,1986,"post"
"235","sprigla01",3.6,1986,"post"
"236","worthja01",5.54444444444444,1987,"post"
"237","scottby01",0.922222222222222,1987,"post"
"238","johnsma02",8.73333333333333,1987,"post"
"239","coopemi01",4.6,1987,"post"
"240","greenac01",1.24444444444444,1987,"post"
"241","rambiku01",0.464705882352941,1987,"post"
"242","abdulka01",2.92777777777778,1987,"post"
"243","thompmy01",-0.627777777777778,1987,"post"
"244","thompbi01",1.73333333333333,1987,"post"
"245","matthwe01",-1.09166666666667,1987,"post"
"246","brancad01",-1.22727272727273,1987,"post"
"247","smrekmi01",-0.72,1987,"post"
"248","johnsma02",7.4625,1988,"post"
"249","worthja01",4.87083333333333,1988,"post"
"250","scottby01",2.9,1988,"post"
"251","thompmy01",-0.0208333333333333,1988,"post"
"252","coopemi01",1.3375,1988,"post"
"253","greenac01",1,1988,"post"
"254","abdulka01",0.0166666666666667,1988,"post"
"255","rambiku01",0.321052631578947,1988,"post"
"256","campbto01",-0.34,1988,"post"
"257","smrekmi01",-0.5875,1988,"post"
