"","VORP","time"
"335",-4.68333333333333,"post"
"336",1.81666666666667,"post"
"337",6.81666666666667,"post"
"338",3.41666666666667,"post"
"339",-4.18333333333333,"post"
"340",-4.68333333333333,"post"
"341",-3.71075401730532,"reg"
"342",0.889245982694685,"reg"
"343",-3.21075401730532,"reg"
"344",-1.31075401730532,"reg"
"345",-5.21075401730532,"reg"
"346",-4.61075401730532,"reg"
"347",-4.51075401730531,"reg"
"348",-2.11075401730532,"reg"
"349",-1.81075401730532,"reg"
"350",-2.41075401730532,"reg"
"351",-0.210754017305315,"reg"
"352",3.98924598269469,"reg"
"353",1.08924598269468,"reg"
"354",3.78924598269468,"reg"
"355",-6.11075401730532,"reg"
"356",5.98924598269469,"reg"
"357",-0.910754017305315,"reg"
"358",3.58924598269468,"reg"
"359",-1.01075401730532,"reg"
"360",1.48924598269468,"reg"
"361",2.68924598269468,"reg"
"362",3.88924598269468,"reg"
"363",-5.21075401730532,"reg"
"364",-2.61075401730532,"reg"
"365",-3.11075401730532,"reg"
"366",0.889245982694685,"reg"
"367",-2.91075401730532,"reg"
"368",-2.41075401730532,"reg"
"369",-6.61075401730532,"reg"
"370",0.0892459826946848,"reg"
"371",-2.41075401730532,"reg"
"372",-0.710754017305315,"reg"
"373",1.58924598269468,"reg"
"374",-0.610754017305315,"reg"
"375",-8.91075401730532,"reg"
"376",8.58924598269468,"reg"
"377",-3.01075401730532,"reg"
"378",2.48924598269468,"reg"
"379",-5.11075401730532,"reg"
"380",5.48924598269469,"reg"
"381",0.0892459826946848,"reg"
"382",0.189245982694685,"reg"
"383",-3.01075401730532,"reg"
"384",-5.21075401730532,"reg"
"385",0.989245982694685,"reg"
"386",-2.21075401730532,"reg"
"387",0.189245982694685,"reg"
"388",2.38924598269468,"reg"
"389",1.08924598269468,"reg"
"390",-9.11075401730531,"reg"
"391",-5.51075401730531,"reg"
"392",-2.51075401730532,"reg"
"393",8.18924598269468,"reg"
"394",-9.11075401730531,"reg"
"395",1.68924598269468,"reg"
"396",-1.81075401730532,"reg"
"397",9.58924598269468,"reg"
"398",2.88924598269468,"reg"
"399",-6.21075401730532,"reg"
"400",3.08924598269468,"reg"
"401",5.38924598269468,"reg"
"402",2.18924598269468,"reg"
"403",4.08924598269468,"reg"
"404",-4.91075401730532,"reg"
"405",-3.91075401730532,"reg"
"406",-1.61075401730532,"reg"
"407",2.58924598269468,"reg"
"408",-0.810754017305315,"reg"
"409",4.58924598269468,"reg"
"410",-4.91075401730532,"reg"
"411",-0.910754017305315,"reg"
"412",-6.61075401730532,"reg"
"413",-3.81075401730532,"reg"
"414",-0.710754017305315,"reg"
"415",-2.41075401730532,"reg"
"416",-1.51075401730532,"reg"
"417",-3.01075401730532,"reg"
"418",-5.81075401730532,"reg"
"419",3.98924598269469,"reg"
"420",-0.110754017305315,"reg"
"421",-0.410754017305315,"reg"
"422",-3.71075401730532,"reg"
"423",0.0790919952210275,"reg"
"424",-4.92090800477897,"reg"
"425",4.57909199522103,"reg"
"426",2.77909199522103,"reg"
"427",1.57909199522103,"reg"
"428",-4.52090800477897,"reg"
"429",5.07909199522103,"reg"
"430",3.27909199522103,"reg"
"431",4.07909199522103,"reg"
"432",0.679091995221027,"reg"
"433",0.0790919952210275,"reg"
"434",-2.12090800477897,"reg"
"435",1.57909199522103,"reg"
"436",3.97909199522103,"reg"
"437",-3.82090800477897,"reg"
"438",1.17909199522103,"reg"
"439",4.47909199522103,"reg"
"440",0.0790919952210275,"reg"
"441",4.87909199522103,"reg"
"442",-6.32090800477897,"reg"
"443",5.07909199522103,"reg"
"444",-4.42090800477897,"reg"
"445",-0.320908004778973,"reg"
"446",2.87909199522103,"reg"
"447",4.27909199522103,"reg"
"448",2.47909199522103,"reg"
"449",6.27909199522103,"reg"
"450",5.17909199522103,"reg"
"451",8.37909199522103,"reg"
"452",0.979091995221028,"reg"
"453",-0.420908004778972,"reg"
"454",3.87909199522103,"reg"
"455",-5.82090800477897,"reg"
"456",3.67909199522103,"reg"
"457",0.579091995221027,"reg"
"458",3.67909199522103,"reg"
"459",-3.72090800477897,"reg"
"460",-3.12090800477897,"reg"
"461",6.67909199522103,"reg"
"462",-3.62090800477897,"reg"
"463",-0.820908004778973,"reg"
"464",-1.52090800477897,"reg"
"465",0.0790919952210275,"reg"
"466",1.87909199522103,"reg"
"467",-3.22090800477897,"reg"
"468",-9.32090800477897,"reg"
"469",-3.72090800477897,"reg"
"470",-6.12090800477897,"reg"
"471",7.87909199522103,"reg"
"472",3.07909199522103,"reg"
"473",3.57909199522103,"reg"
"474",-2.72090800477897,"reg"
"475",0.479091995221028,"reg"
"476",-3.52090800477897,"reg"
"477",0.579091995221027,"reg"
"478",2.57909199522103,"reg"
"479",0.179091995221027,"reg"
"480",1.27909199522103,"reg"
"481",9.07909199522103,"reg"
"482",1.37909199522103,"reg"
"483",-4.92090800477897,"reg"
"484",4.57909199522103,"reg"
"485",-0.420908004778972,"reg"
