"","player","VORP","time","year"
"115","jordami01",7.8,"reg",1991
"116","jordami01",10.1,"reg",1991
"117","jordami01",23.1,"reg",1991
"118","jordami01",17.5,"reg",1991
"119","jordami01",15.6,"reg",1991
"120","jordami01",14.4,"reg",1991
"121","jordami01",13.2,"reg",1991
"122","jordami01",14.2,"reg",1991
"123","jordami01",1.8,"reg",1991
"124","jordami01",6.1,"reg",1991
"125","jordami01",2.1,"reg",1991
"126","jordami01",13.4,"reg",1991
"127","jordami01",18.1,"reg",1991
"128","jordami01",3.8,"reg",1991
"129","jordami01",21,"reg",1991
"130","jordami01",5.2,"reg",1991
"131","jordami01",8.5,"reg",1991
"132","jordami01",4.7,"reg",1991
"133","jordami01",10.5,"reg",1991
"134","jordami01",10.9,"reg",1991
"135","jordami01",12.5,"reg",1991
"136","jordami01",18.2,"reg",1991
"137","jordami01",14.6,"reg",1991
"138","jordami01",14.6,"reg",1991
"139","jordami01",3.8,"reg",1991
"140","jordami01",8.9,"reg",1991
"141","jordami01",6.7,"reg",1991
"142","jordami01",10,"reg",1991
"143","jordami01",15.4,"reg",1991
"144","jordami01",8.6,"reg",1991
"145","jordami01",12.5,"reg",1991
"146","jordami01",17.2,"reg",1991
"147","jordami01",5.4,"reg",1991
"148","jordami01",9.2,"reg",1991
"149","jordami01",14.8,"reg",1991
"150","jordami01",11.8,"reg",1991
"151","jordami01",0.6,"reg",1991
"152","jordami01",9.7,"reg",1991
"153","jordami01",16.3,"reg",1991
"154","jordami01",12.4,"reg",1991
"155","jordami01",12,"reg",1991
"156","jordami01",-1.8,"reg",1991
"157","jordami01",13.5,"reg",1991
"158","jordami01",5.1,"reg",1991
"159","jordami01",2.6,"reg",1991
"160","jordami01",9.7,"reg",1991
"161","jordami01",3.6,"reg",1991
"162","jordami01",15.9,"reg",1991
"163","jordami01",6.8,"reg",1991
"164","jordami01",18.7,"reg",1991
"165","jordami01",8.8,"reg",1992
"166","jordami01",10.1,"reg",1992
"167","jordami01",15.4,"reg",1992
"168","jordami01",13.5,"reg",1992
"169","jordami01",8.7,"reg",1992
"170","jordami01",6.7,"reg",1992
"171","jordami01",-2.4,"reg",1992
"172","jordami01",5.1,"reg",1992
"173","jordami01",-5,"reg",1992
"174","jordami01",9.4,"reg",1992
"175","jordami01",11.3,"reg",1992
"176","jordami01",17.5,"reg",1992
"177","jordami01",4.1,"reg",1992
"178","jordami01",8.3,"reg",1992
"179","jordami01",5.9,"reg",1992
"180","jordami01",11.9,"reg",1992
"181","jordami01",14.1,"reg",1992
"182","jordami01",12.8,"reg",1992
"183","jordami01",14,"reg",1992
"184","jordami01",8.7,"reg",1992
"185","jordami01",11.9,"reg",1992
"186","jordami01",6.2,"reg",1992
"187","jordami01",7.5,"reg",1992
"188","jordami01",10.4,"reg",1992
"189","jordami01",4,"reg",1992
"190","jordami01",11.9,"reg",1992
"191","jordami01",12.2,"reg",1992
"192","jordami01",8.7,"reg",1992
"193","jordami01",7.4,"reg",1992
"194","jordami01",6.6,"reg",1992
"195","jordami01",5.4,"reg",1992
"196","jordami01",7,"reg",1992
"197","jordami01",7.9,"reg",1992
"198","jordami01",16.2,"reg",1992
"199","jordami01",15.3,"reg",1992
"200","jordami01",9.6,"reg",1992
"201","jordami01",-7.8,"reg",1992
"202","jordami01",11.6,"reg",1992
"203","jordami01",11,"reg",1992
"204","jordami01",7.6,"reg",1992
"205","jordami01",9.3,"reg",1992
"206","jordami01",20.6,"reg",1992
"207","jordami01",13.1,"reg",1992
"208","jordami01",18.2,"reg",1992
"209","jordami01",9.5,"reg",1992
"210","jordami01",3.4,"reg",1992
"211","jordami01",8.2,"reg",1992
"212","jordami01",1.7,"reg",1992
"213","jordami01",9.6,"reg",1992
"214","jordami01",8.1,"reg",1992
"215","jordami01",14.1,"reg",1992
"216","jordami01",13.4,"reg",1992
"217","jordami01",10.2,"reg",1992
"218","jordami01",3.3,"reg",1992
"219","jordami01",9.8,"reg",1992
"220","jordami01",16.6,"reg",1992
"221","jordami01",12.3,"reg",1992
"222","jordami01",13.7,"reg",1992
"223","jordami01",11,"reg",1992
"224","jordami01",2.1,"reg",1992
"225","jordami01",12.9,"reg",1992
"226","jordami01",2.4,"reg",1992
"227","jordami01",10.3,"reg",1992
"228","jordami01",9.1,"reg",1992
"229","jordami01",8.8,"reg",1992
"230","jordami01",-0.3,"reg",1992
"231","jordami01",8.3,"reg",1992
"232","jordami01",18.4,"reg",1992
"233","jordami01",8.4,"reg",1992
"234","jordami01",6.3,"reg",1992
"235","jordami01",5.6,"reg",1992
"236","jordami01",9.5,"reg",1992
"237","jordami01",12.6,"reg",1992
"238","jordami01",13.5,"reg",1992
"239","jordami01",17.9,"reg",1992
"240","jordami01",22.9,"reg",1992
"241","jordami01",15.8,"reg",1992
"242","jordami01",2.2,"reg",1992
"243","jordami01",11.2,"reg",1992
"244","jordami01",0.7,"reg",1992
"245","jordami01",10.8,"reg",1993
"246","jordami01",6.8,"reg",1993
"247","jordami01",11.6,"reg",1993
"248","jordami01",12.1,"reg",1993
"249","jordami01",13.1,"reg",1993
"250","jordami01",5,"reg",1993
"251","jordami01",15.5,"reg",1993
"252","jordami01",3.4,"reg",1993
"253","jordami01",12,"reg",1993
"254","jordami01",5,"reg",1993
"255","jordami01",12.7,"reg",1993
"256","jordami01",8.9,"reg",1993
"257","jordami01",29.6,"reg",1993
"258","jordami01",14.9,"reg",1993
"259","jordami01",12.8,"reg",1993
"260","jordami01",12.7,"reg",1993
"261","jordami01",11.8,"reg",1993
"262","jordami01",15.4,"reg",1993
"263","jordami01",19.4,"reg",1993
"264","jordami01",14.9,"reg",1993
"265","jordami01",6.2,"reg",1993
"266","jordami01",4.2,"reg",1993
