"","player","VORP","time","year"
"131","stockjo01",2.3,"reg",1998
"132","stockjo01",3.6,"reg",1998
"133","stockjo01",8.2,"reg",1998
"134","stockjo01",0.1,"reg",1998
"135","stockjo01",1.5,"reg",1998
"136","stockjo01",9.6,"reg",1998
"137","stockjo01",-3.6,"reg",1998
"138","stockjo01",3.3,"reg",1998
"139","stockjo01",7.1,"reg",1998
"140","stockjo01",1.1,"reg",1998
"141","stockjo01",-5.3,"reg",1998
"142","stockjo01",5.8,"reg",1998
"143","stockjo01",7.3,"reg",1998
"144","stockjo01",-0.5,"reg",1998
"145","stockjo01",0.6,"reg",1998
"146","stockjo01",2.4,"reg",1998
"147","stockjo01",12.2,"reg",1988
"148","stockjo01",8.9,"reg",1988
"149","stockjo01",3.8,"reg",1988
"150","stockjo01",5.6,"reg",1988
"151","stockjo01",4.3,"reg",1988
"152","stockjo01",0.1,"reg",1988
"153","stockjo01",10.9,"reg",1988
"154","stockjo01",14.1,"reg",1988
"155","stockjo01",4.6,"reg",1988
"156","stockjo01",7.6,"reg",1988
"157","stockjo01",2.8,"reg",1988
"158","stockjo01",17,"reg",1988
"159","stockjo01",7.1,"reg",1988
"160","stockjo01",2.5,"reg",1988
"161","stockjo01",2.8,"reg",1988
"162","stockjo01",7.8,"reg",1988
"163","stockjo01",3.9,"reg",1988
"164","stockjo01",11.3,"reg",1988
"165","stockjo01",11.3,"reg",1988
"166","stockjo01",9.7,"reg",1988
"167","stockjo01",7.6,"reg",1988
"168","stockjo01",7.3,"reg",1988
"169","stockjo01",9,"reg",1988
"170","stockjo01",6.3,"reg",1988
"171","stockjo01",7.3,"reg",1988
"172","stockjo01",18.5,"reg",1988
"173","stockjo01",11.2,"reg",1988
"174","stockjo01",14.5,"reg",1988
"175","stockjo01",11.6,"reg",1988
"176","stockjo01",6.6,"reg",1988
"177","stockjo01",8.7,"reg",1988
"178","stockjo01",8,"reg",1988
"179","stockjo01",13.2,"reg",1988
"180","stockjo01",11.8,"reg",1988
"181","stockjo01",11.2,"reg",1988
"182","stockjo01",14.6,"reg",1988
"183","stockjo01",9.7,"reg",1988
"184","stockjo01",11.1,"reg",1988
"185","stockjo01",10.9,"reg",1988
"186","stockjo01",12.5,"reg",1988
"187","stockjo01",14.1,"reg",1988
"188","stockjo01",3,"reg",1988
"189","stockjo01",3.3,"reg",1988
"190","stockjo01",4.9,"reg",1988
"191","stockjo01",3.3,"reg",1988
"192","stockjo01",-0.6,"reg",1988
"193","stockjo01",10.6,"reg",1988
"194","stockjo01",0.8,"reg",1988
"195","stockjo01",1.1,"reg",1988
"196","stockjo01",5.9,"reg",1988
"197","stockjo01",2.5,"reg",1988
"198","stockjo01",1.5,"reg",1988
"199","stockjo01",6.1,"reg",1988
"200","stockjo01",5.4,"reg",1988
"201","stockjo01",12.8,"reg",1988
"202","stockjo01",8.7,"reg",1988
"203","stockjo01",1.2,"reg",1988
"204","stockjo01",4.9,"reg",1988
"205","stockjo01",1,"reg",1988
"206","stockjo01",3.2,"reg",1988
"207","stockjo01",2.9,"reg",1988
"208","stockjo01",0.8,"reg",1988
"209","stockjo01",12.5,"reg",1988
"210","stockjo01",4.4,"reg",1988
"211","stockjo01",5,"reg",1988
"212","stockjo01",21.4,"reg",1988
"213","stockjo01",3.1,"reg",1988
"214","stockjo01",6.4,"reg",1988
"215","stockjo01",7.5,"reg",1988
"216","stockjo01",8.8,"reg",1988
"217","stockjo01",6.5,"reg",1988
"218","stockjo01",10.6,"reg",1988
"219","stockjo01",14.9,"reg",1988
"220","stockjo01",4.5,"reg",1988
"221","stockjo01",9.7,"reg",1988
"222","stockjo01",8.7,"reg",1988
"223","stockjo01",0.8,"reg",1988
"224","stockjo01",7.8,"reg",1988
"225","stockjo01",9.4,"reg",1988
"226","stockjo01",10.6,"reg",1988
"227","stockjo01",9.7,"reg",1988
"228","stockjo01",2.1,"reg",1988
"229","stockjo01",-4.8,"reg",1989
"230","stockjo01",13.2,"reg",1989
"231","stockjo01",3.6,"reg",1989
"232","stockjo01",5,"reg",1989
"233","stockjo01",14.5,"reg",1989
"234","stockjo01",10.4,"reg",1989
"235","stockjo01",6.4,"reg",1989
"236","stockjo01",10,"reg",1989
"237","stockjo01",3.8,"reg",1989
"238","stockjo01",12,"reg",1989
"239","stockjo01",2.9,"reg",1989
"240","stockjo01",8.4,"reg",1989
"241","stockjo01",8.1,"reg",1989
"242","stockjo01",6.6,"reg",1989
"243","stockjo01",7.6,"reg",1989
"244","stockjo01",17.9,"reg",1989
"245","stockjo01",10.9,"reg",1989
"246","stockjo01",2.5,"reg",1989
"247","stockjo01",9.9,"reg",1989
"248","stockjo01",-3.7,"reg",1989
"249","stockjo01",8,"reg",1989
"250","stockjo01",14.3,"reg",1989
"251","stockjo01",6.7,"reg",1989
"252","stockjo01",17.1,"reg",1989
"253","stockjo01",9.6,"reg",1989
"254","stockjo01",16.9,"reg",1989
"255","stockjo01",17.8,"reg",1989
"256","stockjo01",7.1,"reg",1989
"257","stockjo01",16.6,"reg",1989
"258","stockjo01",14.6,"reg",1989
"259","stockjo01",13.1,"reg",1989
"260","stockjo01",4.8,"reg",1989
"261","stockjo01",5.3,"reg",1989
"262","stockjo01",8.4,"reg",1989
"263","stockjo01",17.3,"reg",1989
"264","stockjo01",7.6,"reg",1989
"265","stockjo01",10,"reg",1989
"266","stockjo01",13.5,"reg",1989
"267","stockjo01",8,"reg",1989
"268","stockjo01",3.4,"reg",1989
"269","stockjo01",13.5,"reg",1989
"270","stockjo01",11.4,"reg",1989
"271","stockjo01",-0.7,"reg",1989
"272","stockjo01",1.4,"reg",1989
"273","stockjo01",-0.9,"reg",1989
"274","stockjo01",-5.5,"reg",1989
"275","stockjo01",11.2,"reg",1989
"276","stockjo01",15.3,"reg",1989
"277","stockjo01",10.5,"reg",1989
"278","stockjo01",8.3,"reg",1989
"279","stockjo01",8.2,"reg",1989
"280","stockjo01",5.5,"reg",1989
"281","stockjo01",1.5,"reg",1989
"282","stockjo01",3,"reg",1989
"283","stockjo01",2.9,"reg",1989
"284","stockjo01",24.3,"reg",1989
"285","stockjo01",9.4,"reg",1989
"286","stockjo01",-2.2,"reg",1989
"287","stockjo01",3.7,"reg",1989
"288","stockjo01",5.6,"reg",1989
"289","stockjo01",3.7,"reg",1989
"290","stockjo01",15.4,"reg",1989
"291","stockjo01",9,"reg",1989
"292","stockjo01",20.7,"reg",1989
"293","stockjo01",13.9,"reg",1989
"294","stockjo01",-0.2,"reg",1989
"295","stockjo01",1.2,"reg",1989
"296","stockjo01",4.3,"reg",1989
"297","stockjo01",21.3,"reg",1989
"298","stockjo01",2,"reg",1989
"299","stockjo01",6.3,"reg",1989
"300","stockjo01",-0.5,"reg",1989
"301","stockjo01",2.7,"reg",1989
"302","stockjo01",12,"reg",1989
"303","stockjo01",9.1,"reg",1989
"304","stockjo01",6.9,"reg",1989
"305","stockjo01",13.8,"reg",1989
"306","stockjo01",8.9,"reg",1989
"307","stockjo01",10,"reg",1989
"308","stockjo01",10.2,"reg",1989
"309","stockjo01",4.2,"reg",1989
"310","stockjo01",15.6,"reg",1989
"311","stockjo01",10.4,"reg",1990
"312","stockjo01",7.5,"reg",1990
"313","stockjo01",20.8,"reg",1990
"314","stockjo01",20.5,"reg",1990
"315","stockjo01",12.8,"reg",1990
"316","stockjo01",12.6,"reg",1990
"317","stockjo01",5.9,"reg",1990
"318","stockjo01",11.6,"reg",1990
"319","stockjo01",10.2,"reg",1990
"320","stockjo01",8.1,"reg",1990
"321","stockjo01",8.6,"reg",1990
"322","stockjo01",7.1,"reg",1990
"323","stockjo01",8.1,"reg",1990
"324","stockjo01",21,"reg",1990
"325","stockjo01",6.4,"reg",1990
"326","stockjo01",8.7,"reg",1990
"327","stockjo01",13,"reg",1990
"328","stockjo01",10.2,"reg",1990
"329","stockjo01",1.3,"reg",1990
"330","stockjo01",11.7,"reg",1990
"331","stockjo01",5.4,"reg",1990
"332","stockjo01",2.5,"reg",1990
"333","stockjo01",7.2,"reg",1990
"334","stockjo01",4.8,"reg",1990
"335","stockjo01",12.6,"reg",1990
"336","stockjo01",4.6,"reg",1990
"337","stockjo01",12.1,"reg",1990
"338","stockjo01",16.3,"reg",1990
"339","stockjo01",20.3,"reg",1990
"340","stockjo01",8.6,"reg",1990
"341","stockjo01",14,"reg",1990
"342","stockjo01",9.6,"reg",1990
"343","stockjo01",16,"reg",1990
"344","stockjo01",-1.5,"reg",1990
"345","stockjo01",3,"reg",1990
"346","stockjo01",6.2,"reg",1990
"347","stockjo01",11.4,"reg",1990
"348","stockjo01",7,"reg",1990
"349","stockjo01",9.1,"reg",1990
"350","stockjo01",1.5,"reg",1990
"351","stockjo01",16.3,"reg",1990
"352","stockjo01",3.5,"reg",1990
"353","stockjo01",-1.2,"reg",1990
"354","stockjo01",9.4,"reg",1990
"355","stockjo01",7,"reg",1990
