"","VORP","time"
"78",16.1797356828194,"post"
"79",9.07973568281938,"post"
"80",8.57973568281938,"post"
"81",9.27973568281938,"post"
"82",19.9797356828194,"post"
"83",2.97973568281938,"post"
"84",11.6797356828194,"post"
"85",9.67973568281938,"post"
"86",8.67973568281938,"post"
"87",1.27973568281938,"post"
"88",10.7797356828194,"post"
"89",12.0797356828194,"post"
"90",-1.32026431718062,"post"
"91",11.8797356828194,"post"
"92",7.87973568281938,"post"
"93",5.1055,"post"
"94",13.2055,"post"
"95",3.6055,"post"
"96",1.2055,"post"
"97",6.8055,"post"
"98",9.1055,"post"
"99",13.7055,"post"
"100",10.6055,"post"
"101",8.4055,"post"
"102",9.5055,"post"
"103",12.7055,"post"
"104",12.7055,"post"
"105",11.7055,"post"
"106",18.4055,"post"
"107",7.2055,"post"
"108",7.4055,"post"
"109",-6.0945,"post"
"110",6.5055,"post"
"111",12.2055,"post"
"112",15.1055,"post"
"113",5.1055,"post"
"114",13.2055,"post"
"115",3.6055,"post"
"116",0.689090909090909,"post"
"117",5.08909090909091,"post"
"118",2.08909090909091,"post"
"119",7.98909090909091,"post"
"120",19.0890909090909,"post"
"121",8.88909090909091,"post"
"122",8.38909090909091,"post"
"123",13.6890909090909,"post"
"124",3.08909090909091,"post"
"125",6.98909090909091,"post"
"126",11.4890909090909,"post"
"127",3.68909090909091,"post"
"128",1.88909090909091,"post"
"129",0.489090909090909,"post"
"130",-2.71090909090909,"post"
"131",5.58909090909091,"post"
"132",10.9890909090909,"post"
"133",6.98909090909091,"post"
"134",16.1890909090909,"post"
"135",13.2890909090909,"post"
"136",0.689090909090909,"post"
"137",5.08909090909091,"post"
"138",2.08909090909091,"post"
"139",11.0032258064516,"post"
"140",5.20322580645161,"post"
"141",10.4032258064516,"post"
"142",9.70322580645161,"post"
"143",8.90322580645161,"post"
"144",11.9032258064516,"post"
"145",9.70322580645161,"post"
"146",6.70322580645161,"post"
"147",9.70322580645161,"post"
"148",21.3032258064516,"post"
"149",-5.49677419354839,"post"
"150",6.00322580645161,"post"
"151",4.40322580645161,"post"
"152",2.80322580645161,"post"
"153",7.80322580645161,"post"
"154",15.1032258064516,"post"
"155",10.9032258064516,"post"
"156",10.6032258064516,"post"
"157",6.60322580645161,"post"
"158",19.6032258064516,"post"
"159",11.9032258064516,"post"
"160",11.0032258064516,"post"
"161",5.20322580645161,"post"
"162",13.7858757062147,"post"
"163",2.48587570621469,"post"
"164",7.68587570621469,"post"
"165",14.2858757062147,"post"
"166",-11.0141242937853,"post"
"167",-0.514124293785311,"post"
"168",13.9858757062147,"post"
"169",6.88587570621469,"post"
"170",14.2858757062147,"post"
"171",10.0858757062147,"post"
"172",10.6858757062147,"post"
"173",3.78587570621469,"post"
"174",11.5858757062147,"post"
"175",17.0858757062147,"post"
"176",14.0858757062147,"post"
"177",7.48587570621469,"post"
"178",13.4858757062147,"post"
"179",13.0858757062147,"post"
"180",13.7858757062147,"post"
"181",2.48587570621469,"post"
"182",7.68587570621469,"post"
"183",14.2858757062147,"post"
"184",-11.0141242937853,"post"
"185",12.262962962963,"post"
"186",20.262962962963,"post"
"187",19.762962962963,"post"
"188",20.262962962963,"post"
"189",13.262962962963,"post"
"190",11.462962962963,"post"
"191",18.462962962963,"post"
"192",6.86296296296296,"post"
"193",20.262962962963,"post"
"194",14.062962962963,"post"
"195",4.86296296296296,"post"
"196",10.162962962963,"post"
"197",11.362962962963,"post"
"198",8.46296296296296,"post"
"199",8.06296296296296,"post"
"200",16.662962962963,"post"
"201",-1.23703703703704,"post"
"202",16.862962962963,"post"
"203",3.16296296296296,"post"
"204",10.662962962963,"post"
"205",19.862962962963,"post"
"206",10.262962962963,"post"
"207",12.262962962963,"post"
"208",19.2104084321476,"reg"
"209",-1.38959156785244,"reg"
"210",11.7104084321476,"reg"
"211",9.81040843214756,"reg"
"212",4.61040843214756,"reg"
