Visitor/Neutral,Visitor Points,Home/Neutral,Home Points,id,year,win,team,season_id,margin,playoff,correct,cteams
NYK,84,HOU,90,199406220HOU,1994,1,HOU,HOU-1994,6,TRUE,TRUE,TRUE
HOU,100,UTA,102,199504270UTA,1995,1,UTA,UTA-1995,2,TRUE,TRUE,TRUE
CHI,108,CHH,100,199504280CHH,1995,0,CHH,CHH-1995,-8,TRUE,TRUE,TRUE
HOU,140,UTA,126,199504290UTA,1995,0,UTA,UTA-1995,-14,TRUE,TRUE,TRUE
CHI,89,CHH,106,199504300CHH,1995,1,CHH,CHH-1995,17,TRUE,TRUE,TRUE
CHH,80,CHI,103,199505020CHI,1995,1,CHI,CHI-1995,23,TRUE,TRUE,TRUE
UTA,95,HOU,82,199505030HOU,1995,0,HOU,HOU-1995,-13,TRUE,TRUE,TRUE
CHH,84,CHI,85,199505040CHI,1995,1,CHI,CHI-1995,1,TRUE,TRUE,TRUE
UTA,106,HOU,123,199505050HOU,1995,1,HOU,HOU-1995,17,TRUE,TRUE,TRUE
HOU,95,UTA,91,199505070UTA,1995,0,UTA,UTA-1995,-4,TRUE,TRUE,TRUE
CHI,91,ORL,94,199505070ORL,1995,1,ORL,ORL-1995,3,TRUE,TRUE,TRUE
HOU,108,PHO,130,199505090PHO,1995,1,PHO,PHO-1995,22,TRUE,TRUE,TRUE
CHI,104,ORL,94,199505100ORL,1995,0,ORL,ORL-1995,-10,TRUE,TRUE,TRUE
HOU,94,PHO,118,199505110PHO,1995,1,PHO,PHO-1995,24,TRUE,TRUE,TRUE
ORL,110,CHI,101,199505120CHI,1995,0,CHI,CHI-1995,-9,TRUE,TRUE,TRUE
PHO,85,HOU,118,199505130HOU,1995,1,HOU,HOU-1995,33,TRUE,TRUE,TRUE
ORL,95,CHI,106,199505140CHI,1995,1,CHI,CHI-1995,11,TRUE,TRUE,TRUE
PHO,114,HOU,110,199505140HOU,1995,0,HOU,HOU-1995,-4,TRUE,TRUE,TRUE
CHI,95,ORL,103,199505160ORL,1995,1,ORL,ORL-1995,8,TRUE,TRUE,TRUE
HOU,103,PHO,97,199505160PHO,1995,0,PHO,PHO-1995,-6,TRUE,TRUE,TRUE
ORL,108,CHI,102,199505180CHI,1995,0,CHI,CHI-1995,-6,TRUE,TRUE,TRUE
PHO,103,HOU,116,199505180HOU,1995,1,HOU,HOU-1995,13,TRUE,TRUE,TRUE
HOU,115,PHO,114,199505200PHO,1995,0,PHO,PHO-1995,-1,TRUE,TRUE,TRUE
HOU,94,SAS,93,199505220SAS,1995,0,SAS,SAS-1995,-1,TRUE,TRUE,TRUE
HOU,106,SAS,96,199505240SAS,1995,0,SAS,SAS-1995,-10,TRUE,TRUE,TRUE
SAS,107,HOU,102,199505260HOU,1995,0,HOU,HOU-1995,-5,TRUE,TRUE,TRUE
SAS,103,HOU,81,199505280HOU,1995,0,HOU,HOU-1995,-22,TRUE,TRUE,TRUE
