Visitor/Neutral,Visitor Points,Home/Neutral,Home Points,id,year,win,team,season_id,margin,playoff,correct,cteams
ATL,105,DET,106,199912300DET,2000,1,DET,DET-2000,1,FALSE,TRUE,TRUE
SAS,98,VAN,88,199912300VAN,2000,0,VAN,VAN-2000,-10,FALSE,TRUE,TRUE
CLE,98,BOS,105,200001030BOS,2000,1,BOS,BOS-2000,7,FALSE,TRUE,TRUE
DET,118,ORL,106,200001030ORL,2000,0,ORL,ORL-2000,-12,FALSE,TRUE,TRUE
LAL,122,LAC,98,200001040LAC,2000,0,LAC,LAC-2000,-24,FALSE,TRUE,TRUE
SAS,88,MIN,91,200001040MIN,2000,1,MIN,MIN-2000,3,FALSE,TRUE,TRUE
BOS,88,NYK,96,200001040NYK,2000,1,NYK,NYK-2000,8,FALSE,TRUE,TRUE
DET,120,ATL,108,200001050ATL,2000,0,ATL,ATL-2000,-12,FALSE,TRUE,TRUE
LAC,101,LAL,118,200001050LAL,2000,1,LAL,LAL-2000,17,FALSE,TRUE,TRUE
SEA,99,SAS,96,200001050SAS,2000,0,SAS,SAS-2000,-3,FALSE,TRUE,TRUE
MIL,95,DET,101,200001060DET,2000,1,DET,DET-2000,6,FALSE,TRUE,TRUE
SAC,93,BOS,101,200001070BOS,2000,1,BOS,BOS-2000,8,FALSE,TRUE,TRUE
CHH,83,LAL,87,200001070LAL,2000,1,LAL,LAL-2000,4,FALSE,TRUE,TRUE
SAS,102,PHO,83,200001070PHO,2000,0,PHO,PHO-2000,-19,FALSE,TRUE,TRUE
BOS,79,CHI,96,200001080CHI,2000,1,CHI,CHI-2000,17,FALSE,TRUE,TRUE
MIN,110,DET,105,200001080DET,2000,0,DET,DET-2000,-5,FALSE,TRUE,TRUE
ORL,92,SAS,127,200001080SAS,2000,1,SAS,SAS-2000,35,FALSE,TRUE,TRUE
LAL,110,SEA,100,200001080SEA,2000,0,SEA,SEA-2000,-10,FALSE,TRUE,TRUE
VAN,112,BOS,103,200001100BOS,2000,0,BOS,BOS-2000,-9,FALSE,TRUE,TRUE
DEN,95,LAL,130,200001100LAL,2000,1,LAL,LAL-2000,35,FALSE,TRUE,TRUE
UTA,86,SAS,93,200001100SAS,2000,1,SAS,SAS-2000,7,FALSE,TRUE,TRUE
LAC,88,BOS,95,200001120BOS,2000,1,BOS,BOS-2000,7,FALSE,TRUE,TRUE
NYK,108,DET,114,200001120DET,2000,1,DET,DET-2000,6,FALSE,TRUE,TRUE
LAL,103,MIL,94,200001120MIL,2000,0,MIL,MIL-2000,-9,FALSE,TRUE,TRUE
BOS,85,MIN,103,200001130MIN,2000,1,MIN,MIN-2000,18,FALSE,TRUE,TRUE
SAS,103,SAC,107,200001130SAC,2000,1,SAC,SAC-2000,4,FALSE,TRUE,TRUE
WAS,98,DET,105,200001140DET,2000,1,DET,DET-2000,7,FALSE,TRUE,TRUE
LAL,102,IND,111,200001140IND,2000,1,IND,IND-2000,9,FALSE,TRUE,TRUE
SAS,85,SEA,91,200001140SEA,2000,1,SEA,SEA-2000,6,FALSE,TRUE,TRUE
LAL,104,MIN,91,200001150MIN,2000,0,MIN,MIN-2000,-13,FALSE,TRUE,TRUE
BOS,99,NJN,96,200001150NJN,2000,0,NJN,NJN-2000,-3,FALSE,TRUE,TRUE
DET,112,WAS,107,200001150WAS,2000,0,WAS,WAS-2000,-5,FALSE,TRUE,TRUE
SAS,99,LAC,93,200001170LAC,2000,0,LAC,LAC-2000,-6,FALSE,TRUE,TRUE
SEA,82,LAL,81,200001170LAL,2000,0,LAL,LAL-2000,-1,FALSE,TRUE,TRUE
DET,94,NYK,105,200001170NYK,2000,1,NYK,NYK-2000,11,FALSE,TRUE,TRUE
BOS,105,WAS,101,200001170WAS,2000,0,WAS,WAS-2000,-4,FALSE,TRUE,TRUE
TOR,90,BOS,94,200001190BOS,2000,1,BOS,BOS-2000,4,FALSE,TRUE,TRUE
CLE,86,LAL,95,200001190LAL,2000,1,LAL,LAL-2000,9,FALSE,TRUE,TRUE
POR,105,SAS,95,200001190SAS,2000,0,SAS,SAS-2000,-10,FALSE,TRUE,TRUE
DET,120,NJN,122,200001200NJN,2000,1,NJN,NJN-2000,2,FALSE,TRUE,TRUE
SEA,86,BOS,111,200001210BOS,2000,1,BOS,BOS-2000,25,FALSE,TRUE,TRUE
BOS,96,CHH,110,200001220CHH,2000,1,CHH,CHH-2000,14,FALSE,TRUE,TRUE
DET,92,CHI,98,200001220CHI,2000,1,CHI,CHI-2000,6,FALSE,TRUE,TRUE
POR,95,LAL,91,200001220LAL,2000,0,LAL,LAL-2000,-4,FALSE,TRUE,TRUE
NYK,83,SAS,96,200001220SAS,2000,1,SAS,SAS-2000,13,FALSE,TRUE,TRUE
DAL,99,DET,91,200001230DET,2000,0,DET,DET-2000,-8,FALSE,TRUE,TRUE
LAL,101,UTA,105,200001240UTA,2000,1,UTA,UTA-2000,4,FALSE,TRUE,TRUE
DET,107,CLE,116,200001250CLE,2000,1,CLE,CLE-2000,9,FALSE,TRUE,TRUE
BOS,89,MIA,115,200001250MIA,2000,1,MIA,MIA-2000,26,FALSE,TRUE,TRUE
LAC,82,SAS,105,200001250SAS,2000,1,SAS,SAS-2000,23,FALSE,TRUE,TRUE
BOS,89,ORL,111,200001260ORL,2000,1,ORL,ORL-2000,22,FALSE,TRUE,TRUE
DET,102,CHH,117,200001270CHH,2000,1,CHH,CHH-2000,15,FALSE,TRUE,TRUE
MIN,80,SAS,92,200001270SAS,2000,1,SAS,SAS-2000,12,FALSE,TRUE,TRUE
PHO,88,BOS,91,200001280BOS,2000,1,BOS,BOS-2000,3,FALSE,TRUE,TRUE
MIL,89,LAL,117,200001280LAL,2000,1,LAL,LAL-2000,28,FALSE,TRUE,TRUE
PHI,88,DET,90,200001290DET,2000,1,DET,DET-2000,2,FALSE,TRUE,TRUE
SAS,67,POR,81,200001290POR,2000,1,POR,POR-2000,14,FALSE,TRUE,TRUE
LAL,83,HOU,89,200001300HOU,2000,1,HOU,HOU-2000,6,FALSE,TRUE,TRUE
DET,82,MIA,104,200001310MIA,2000,1,MIA,MIA-2000,22,FALSE,TRUE,TRUE
BOS,96,IND,99,200002010IND,2000,1,IND,IND-2000,3,FALSE,TRUE,TRUE
LAL,81,SAS,105,200002010SAS,2000,1,SAS,SAS-2000,24,FALSE,TRUE,TRUE
MIA,105,BOS,103,200002020BOS,2000,0,BOS,BOS-2000,-2,FALSE,TRUE,TRUE
SAC,113,DET,110,200002020DET,2000,0,DET,DET-2000,-3,FALSE,TRUE,TRUE
TOR,95,SAS,112,200002030SAS,2000,1,SAS,SAS-2000,17,FALSE,TRUE,TRUE
NJN,95,BOS,100,200002040BOS,2000,1,BOS,BOS-2000,5,FALSE,TRUE,TRUE
CLE,96,DET,105,200002040DET,2000,1,DET,DET-2000,9,FALSE,TRUE,TRUE
UTA,67,LAL,113,200002040LAL,2000,1,LAL,LAL-2000,46,FALSE,TRUE,TRUE
POR,100,BOS,94,200002060BOS,2000,0,BOS,BOS-2000,-6,FALSE,TRUE,TRUE
HOU,105,DET,109,200002060DET,2000,1,DET,DET-2000,4,FALSE,TRUE,TRUE
SAS,90,UTA,93,200002060UTA,2000,1,UTA,UTA-2000,3,FALSE,TRUE,TRUE
DEN,98,LAL,106,200002070LAL,2000,1,LAL,LAL-2000,8,FALSE,TRUE,TRUE
BOS,113,NJN,131,200002080NJN,2000,1,NJN,NJN-2000,18,FALSE,TRUE,TRUE
SEA,77,SAS,79,200002080SAS,2000,1,SAS,SAS-2000,2,FALSE,TRUE,TRUE
