"","...1","Visitor/Neutral","Visitor Points","Home/Neutral","Home Points","id","year","win","team","season_id","margin","playoff"
"6160",6567,"TOR",103,"MIL",96,"202201150MIL",2022,1,"TOR","TOR-2022",7,FALSE
"6161",6568,"POR",115,"WAS",110,"202201150WAS",2022,1,"POR","POR-2022",5,FALSE
"6162",6569,"NYK",117,"ATL",108,"202201150ATL",2022,1,"NYK","NYK-2022",9,FALSE
"6163",6570,"NOP",105,"BRK",120,"202201150BRK",2022,0,"NOP","NOP-2022",-15,FALSE
"6164",6571,"PHI",109,"MIA",98,"202201150MIA",2022,1,"PHI","PHI-2022",11,FALSE
"6165",6572,"CLE",107,"OKC",102,"202201150OKC",2022,1,"CLE","CLE-2022",5,FALSE
"6166",6573,"CHI",112,"BOS",114,"202201150BOS",2022,0,"CHI","CHI-2022",-2,FALSE
"6167",6574,"LAC",94,"SAS",101,"202201150SAS",2022,0,"LAC","LAC-2022",-7,FALSE
"6168",6575,"LAL",96,"DEN",133,"202201150DEN",2022,0,"LAL","LAL-2022",-37,FALSE
"6169",6576,"ORL",92,"DAL",108,"202201150DAL",2022,0,"ORL","ORL-2022",-16,FALSE
"6170",6577,"PHO",135,"DET",108,"202201160DET",2022,1,"PHO","PHO-2022",27,FALSE
"6171",6578,"HOU",118,"SAC",112,"202201160SAC",2022,1,"HOU","HOU-2022",6,FALSE
"6172",6579,"UTA",125,"DEN",102,"202201160DEN",2022,1,"UTA","UTA-2022",23,FALSE
"6173",6580,"GSW",99,"MIN",119,"202201160MIN",2022,0,"GSW","GSW-2022",-20,FALSE
"6174",6581,"NOP",92,"BOS",104,"202201170BOS",2022,0,"NOP","NOP-2022",-12,FALSE
"6175",6582,"CHO",97,"NYK",87,"202201170NYK",2022,1,"CHO","CHH-2022",10,FALSE
"6176",6583,"PHI",98,"WAS",117,"202201170WAS",2022,0,"PHI","PHI-2022",-19,FALSE
"6177",6584,"BRK",107,"CLE",114,"202201170CLE",2022,0,"BRK","BRK-2022",-7,FALSE
"6178",6585,"IND",133,"LAC",139,"202201170LAC",2022,0,"IND","IND-2022",-6,FALSE
"6179",6586,"CHI",106,"MEM",119,"202201170MEM",2022,0,"CHI","CHI-2022",-13,FALSE
"6180",6587,"MIL",114,"ATL",121,"202201170ATL",2022,0,"MIL","MIL-2022",-7,FALSE
"6181",6588,"POR",98,"ORL",88,"202201170ORL",2022,1,"POR","POR-2022",10,FALSE
"6182",6589,"TOR",99,"MIA",104,"202201170MIA",2022,0,"TOR","TOR-2022",-5,FALSE
"6183",6590,"OKC",102,"DAL",104,"202201170DAL",2022,0,"OKC","OKC-2022",-2,FALSE
"6184",6591,"PHO",121,"SAS",107,"202201170SAS",2022,1,"PHO","PHO-2022",14,FALSE
"6185",6592,"UTA",95,"LAL",101,"202201170LAL",2022,0,"UTA","UTA-2022",-6,FALSE
"6186",6593,"MIN",112,"NYK",110,"202201180NYK",2022,1,"MIN","MIN-2022",2,FALSE
"6187",6594,"DET",86,"GSW",102,"202201180GSW",2022,0,"DET","DET-2022",-16,FALSE
"6188",6595,"ORL",110,"PHI",123,"202201190PHI",2022,0,"ORL","ORL-2022",-13,FALSE
"6189",6596,"BRK",119,"WAS",118,"202201190WAS",2022,1,"BRK","BRK-2022",1,FALSE
"6190",6597,"MIN",122,"ATL",134,"202201190ATL",2022,0,"MIN","MIN-2022",-12,FALSE
"6191",6598,"CHO",111,"BOS",102,"202201190BOS",2022,1,"CHO","CHH-2022",9,FALSE
"6192",6599,"POR",92,"MIA",104,"202201190MIA",2022,0,"POR","POR-2022",-12,FALSE
"6193",6600,"CLE",104,"CHI",117,"202201190CHI",2022,0,"CLE","CLE-2022",-13,FALSE
"6194",6601,"MEM",114,"MIL",126,"202201190MIL",2022,0,"MEM","MEM-2022",-12,FALSE
"6195",6602,"TOR",98,"DAL",102,"202201190DAL",2022,0,"TOR","TOR-2022",-4,FALSE
"6196",6603,"OKC",96,"SAS",118,"202201190SAS",2022,0,"OKC","OKC-2022",-22,FALSE
"6197",6604,"HOU",116,"UTA",111,"202201190UTA",2022,1,"HOU","HOU-2022",5,FALSE
"6198",6605,"LAC",128,"DEN",130,"202201190DEN",2022,0,"LAC","LAC-2022",-2,FALSE
"6199",6606,"DET",133,"SAC",131,"202201190SAC",2022,1,"DET","DET-2022",2,FALSE
"6200",6607,"IND",111,"LAL",104,"202201190LAL",2022,1,"IND","IND-2022",7,FALSE
"6201",6608,"PHO",109,"DAL",101,"202201200DAL",2022,1,"PHO","PHO-2022",8,FALSE
"6202",6609,"NOP",102,"NYK",91,"202201200NYK",2022,1,"NOP","NOP-2022",11,FALSE
"6203",6610,"IND",121,"GSW",117,"202201200GSW",2022,1,"IND","IND-2022",4,FALSE
"6204",6611,"OKC",98,"CHO",121,"202201210CHO",2022,1,"CHO","CHH-2022",23,FALSE
"6205",6612,"LAL",116,"ORL",105,"202201210ORL",2022,1,"LAL","LAL-2022",11,FALSE
"6206",6613,"LAC",102,"PHI",101,"202201210PHI",2022,1,"LAC","LAC-2022",1,FALSE
"6207",6614,"MIA",108,"ATL",110,"202201210ATL",2022,0,"MIA","MIA-2022",-2,FALSE
"6208",6615,"POR",109,"BOS",105,"202201210BOS",2022,1,"POR","POR-2022",4,FALSE
"6209",6616,"CHI",90,"MIL",94,"202201210MIL",2022,0,"CHI","CHI-2022",-4,FALSE
"6210",6617,"TOR",109,"WAS",105,"202201210WAS",2022,1,"TOR","TOR-2022",4,FALSE
"6211",6618,"BRK",117,"SAS",102,"202201210SAS",2022,1,"BRK","BRK-2022",15,FALSE
"6212",6619,"MEM",122,"DEN",118,"202201210DEN",2022,1,"MEM","MEM-2022",4,FALSE
"6213",6620,"DET",101,"UTA",111,"202201210UTA",2022,0,"DET","DET-2022",-10,FALSE
"6214",6621,"HOU",103,"GSW",105,"202201210GSW",2022,0,"HOU","HOU-2022",-2,FALSE
"6215",6622,"SAC",127,"MIL",133,"202201220MIL",2022,0,"SAC","SAC-2022",-6,FALSE
"6216",6623,"OKC",87,"CLE",94,"202201220CLE",2022,0,"OKC","OKC-2022",-7,FALSE
"6217",6624,"IND",103,"PHO",113,"202201220PHO",2022,0,"IND","IND-2022",-10,FALSE
"6218",6625,"LAC",102,"NYK",110,"202201230NYK",2022,0,"LAC","LAC-2022",-8,FALSE
"6219",6626,"BOS",116,"WAS",87,"202201230WAS",2022,1,"BOS","BOS-2022",29,FALSE
"6220",6627,"LAL",107,"MIA",113,"202201230MIA",2022,0,"LAL","LAL-2022",-6,FALSE
"6221",6628,"CHI",95,"ORL",114,"202201230ORL",2022,0,"CHI","CHI-2022",-19,FALSE
"6222",6629,"POR",114,"TOR",105,"202201230TOR",2022,1,"POR","POR-2022",9,FALSE
"6223",6630,"ATL",113,"CHO",91,"202201230CHO",2022,0,"CHO","CHH-2022",-22,FALSE
"6224",6631,"PHI",115,"SAS",109,"202201230SAS",2022,1,"PHI","PHI-2022",6,FALSE
"6225",6632,"MEM",91,"DAL",104,"202201230DAL",2022,0,"MEM","MEM-2022",-13,FALSE
"6226",6633,"DET",111,"DEN",117,"202201230DEN",2022,0,"DET","DET-2022",-6,FALSE
"6227",6634,"BRK",125,"MIN",136,"202201230MIN",2022,0,"BRK","BRK-2022",-11,FALSE
"6228",6635,"UTA",92,"GSW",94,"202201230GSW",2022,0,"UTA","UTA-2022",-2,FALSE
"6229",6636,"NYK",93,"CLE",95,"202201240CLE",2022,0,"NYK","NYK-2022",-2,FALSE
"6230",6637,"IND",113,"NOP",117,"202201240NOP",2022,0,"IND","IND-2022",-4,FALSE
"6231",6638,"CHI",111,"OKC",110,"202201240OKC",2022,1,"CHI","CHI-2022",1,FALSE
"6232",6639,"UTA",109,"PHO",115,"202201240PHO",2022,0,"UTA","UTA-2022",-6,FALSE
"6233",6640,"DEN",110,"DET",105,"202201250DET",2022,1,"DEN","DEN-2022",5,FALSE
"6234",6641,"NOP",107,"PHI",117,"202201250PHI",2022,0,"NOP","NOP-2022",-10,FALSE
"6235",6642,"CHO",113,"TOR",125,"202201250TOR",2022,0,"CHO","CHH-2022",-12,FALSE
"6236",6643,"LAC",116,"WAS",115,"202201250WAS",2022,1,"LAC","LAC-2022",1,FALSE
"6237",6644,"SAC",75,"BOS",128,"202201250BOS",2022,0,"SAC","SAC-2022",-53,FALSE
"6238",6645,"LAL",106,"BRK",96,"202201250BRK",2022,1,"LAL","LAL-2022",10,FALSE
"6239",6646,"SAS",134,"HOU",104,"202201250HOU",2022,1,"SAS","SAS-2022",30,FALSE
"6240",6647,"DAL",92,"GSW",130,"202201250GSW",2022,0,"DAL","DAL-2022",-38,FALSE
"6241",6648,"MIN",109,"POR",107,"202201250POR",2022,1,"MIN","MIN-2022",2,FALSE
"6242",6649,"MIL",99,"CLE",115,"202201260CLE",2022,0,"MIL","MIL-2022",-16,FALSE
"6243",6650,"CHO",158,"IND",126,"202201260IND",2022,1,"CHO","CHH-2022",32,FALSE
"6244",6651,"LAC",111,"ORL",102,"202201260ORL",2022,1,"LAC","LAC-2022",9,FALSE
"6245",6652,"SAC",104,"ATL",121,"202201260ATL",2022,0,"SAC","SAC-2022",-17,FALSE
"6246",6653,"NYK",96,"MIA",110,"202201260MIA",2022,0,"NYK","NYK-2022",-14,FALSE
"6247",6654,"DEN",124,"BRK",118,"202201260BRK",2022,1,"DEN","DEN-2022",6,FALSE
"6248",6655,"TOR",105,"CHI",111,"202201260CHI",2022,0,"TOR","TOR-2022",-6,FALSE
"6249",6656,"MEM",118,"SAS",110,"202201260SAS",2022,1,"MEM","MEM-2022",8,FALSE
"6250",6657,"DAL",132,"POR",112,"202201260POR",2022,1,"DAL","DAL-2022",20,FALSE
"6251",6658,"PHO",105,"UTA",97,"202201260UTA",2022,1,"PHO","PHO-2022",8,FALSE
"6252",6659,"LAL",87,"PHI",105,"202201270PHI",2022,0,"LAL","LAL-2022",-18,FALSE
"6253",6660,"MIN",115,"GSW",124,"202201270GSW",2022,0,"MIN","MIN-2022",-9,FALSE
"6254",6661,"DET",103,"ORL",119,"202201280ORL",2022,0,"DET","DET-2022",-16,FALSE
"6255",6662,"BOS",92,"ATL",108,"202201280ATL",2022,0,"BOS","BOS-2022",-16,FALSE
"6256",6663,"LAL",114,"CHO",117,"202201280CHO",2022,1,"CHO","CHH-2022",3,FALSE
"6257",6664,"POR",125,"HOU",110,"202201280HOU",2022,1,"POR","POR-2022",15,FALSE
"6258",6665,"UTA",109,"MEM",119,"202201280MEM",2022,0,"UTA","UTA-2022",-10,FALSE
"6259",6666,"LAC",114,"MIA",121,"202201280MIA",2022,0,"LAC","LAC-2022",-7,FALSE
"6260",6667,"DEN",116,"NOP",105,"202201280NOP",2022,1,"DEN","DEN-2022",11,FALSE
"6261",6668,"IND",113,"OKC",110,"202201280OKC",2022,1,"IND","IND-2022",3,FALSE
"6262",6669,"CHI",122,"SAS",131,"202201280SAS",2022,0,"CHI","CHI-2022",-9,FALSE
"6263",6670,"MIN",124,"PHO",134,"202201280PHO",2022,0,"MIN","MIN-2022",-10,FALSE
"6264",6671,"NYK",108,"MIL",123,"202201280MIL",2022,0,"NYK","NYK-2022",-15,FALSE
"6265",6672,"IND",105,"DAL",132,"202201290DAL",2022,0,"IND","IND-2022",-27,FALSE
"6266",6673,"BOS",107,"NOP",97,"202201290NOP",2022,1,"BOS","BOS-2022",10,FALSE
