"","Visitor/Neutral","Visitor Points","Home/Neutral","Home Points","id","year","win","team","season_id","margin"
"5590","GSW","147","OKC","109","202104140OKC",2021,1,"GSW","GSW-2021",38
"5591","DAL","114","MEM","113","202104140MEM",2021,1,"DAL","DAL-2021",1
"5592","MIA","106","DEN","123","202104140DEN",2021,0,"MIA","MIA-2021",-17
"5593","WAS","123","SAC","111","202104140SAC",2021,1,"WAS","WAS-2021",12
"5594","MIL","120","ATL","109","202104150ATL",2021,1,"MIL","MIL-2021",11
"5595","GSW","119","CLE","101","202104150CLE",2021,1,"GSW","GSW-2021",18
"5596","BOS","121","LAL","113","202104150LAL",2021,1,"BOS","BOS-2021",8
"5597","SAC","114","PHO","122","202104150PHO",2021,0,"SAC","SAC-2021",-8
"5598","IND","111","UTA","119","202104160UTA",2021,0,"IND","IND-2021",-8
"5599","OKC","104","DET","110","202104160DET",2021,0,"OKC","OKC-2021",-6
"5600","LAC","103","PHI","106","202104160PHI",2021,0,"LAC","LAC-2021",-3
"5601","NOP","115","WAS","117","202104160WAS",2021,0,"NOP","NOP-2021",-2
"5602","CHO","115","BRK","130","202104160BRK",2021,0,"CHO","CHH-2021",-15
"5603","ORL","102","TOR","113","202104160TOR",2021,0,"ORL","ORL-2021",-11
"5604","MEM","126","CHI","115","202104160CHI",2021,1,"MEM","MEM-2021",11
"5605","DEN","128","HOU","99","202104160HOU",2021,1,"DEN","DEN-2021",29
"5606","MIA","111","MIN","119","202104160MIN",2021,0,"MIA","MIA-2021",-8
"5607","POR","107","SAS","106","202104160SAS",2021,1,"POR","POR-2021",1
"5608","NYK","117","DAL","109","202104160DAL",2021,1,"NYK","NYK-2021",8
"5609","UTA","115","LAL","127","202104170LAL",2021,0,"UTA","UTA-2021",-12
"5610","CLE","96","CHI","106","202104170CHI",2021,0,"CLE","CLE-2021",-10
"5611","DET","100","WAS","121","202104170WAS",2021,0,"DET","DET-2021",-21
"5612","GSW","114","BOS","119","202104170BOS",2021,0,"GSW","GSW-2021",-5
"5613","MEM","128","MIL","115","202104170MIL",2021,1,"MEM","MEM-2021",13
"5614","SAS","111","PHO","85","202104170PHO",2021,1,"SAS","SAS-2021",26
"5615","IND","117","ATL","129","202104180ATL",2021,0,"IND","IND-2021",-12
"5616","NOP","112","NYK","122","202104180NYK",2021,0,"NOP","NOP-2021",-10
"5617","BRK","107","MIA","109","202104180MIA",2021,0,"BRK","BRK-2021",-2
"5618","POR","101","CHO","109","202104180CHO",2021,1,"CHO","CHH-2021",8
"5619","HOU","114","ORL","110","202104180ORL",2021,1,"HOU","HOU-2021",4
"5620","OKC","106","TOR","112","202104180TOR",2021,0,"OKC","OKC-2021",-6
"5621","SAC","121","DAL","107","202104180DAL",2021,1,"SAC","SAC-2021",14
"5622","MIN","105","LAC","124","202104180LAC",2021,0,"MIN","MIN-2021",-19
"5623","CLE","105","DET","109","202104190DET",2021,0,"CLE","CLE-2021",-4
"5624","CHI","102","BOS","96","202104190BOS",2021,1,"CHI","CHI-2021",6
"5625","GSW","107","PHI","96","202104190PHI",2021,1,"GSW","GSW-2021",11
"5626","SAS","109","IND","94","202104190IND",2021,1,"SAS","SAS-2021",15
