"","...1","Visitor/Neutral","Visitor Points","Home/Neutral","Home Points","id","year","win","team","season_id","margin","playoff"
"264",4706,"TOR",117,"BRK",92,"202008210BRK",2020,1,"TOR","TOR-2020",25,TRUE
"265",4707,"DEN",87,"UTA",124,"202008210UTA",2020,0,"DEN","DEN-2020",-37,TRUE
"266",4708,"BOS",102,"PHI",94,"202008210PHI",2020,1,"BOS","BOS-2020",8,TRUE
"267",4709,"LAC",130,"DAL",122,"202008210DAL",2020,1,"LAC","LAC-2020",8,TRUE
"268",4710,"MIL",121,"ORL",107,"202008220ORL",2020,1,"MIL","MIL-2020",14,TRUE
"269",4711,"IND",115,"MIA",124,"202008220MIA",2020,0,"IND","IND-2020",-9,TRUE
"270",4712,"HOU",107,"OKC",119,"202008220OKC",2020,0,"HOU","HOU-2020",-12,TRUE
"271",4713,"LAL",116,"POR",108,"202008220POR",2020,1,"LAL","LAL-2020",8,TRUE
"272",4714,"BOS",110,"PHI",106,"202008230PHI",2020,1,"BOS","BOS-2020",4,TRUE
"273",4715,"LAC",133,"DAL",135,"202008230DAL",2020,0,"LAC","LAC-2020",-2,TRUE
"274",4716,"TOR",150,"BRK",122,"202008230BRK",2020,1,"TOR","TOR-2020",28,TRUE
"275",4717,"DEN",127,"UTA",129,"202008230UTA",2020,0,"DEN","DEN-2020",-2,TRUE
"276",4718,"MIL",121,"ORL",106,"202008240ORL",2020,1,"MIL","MIL-2020",15,TRUE
"277",4719,"HOU",114,"OKC",117,"202008240OKC",2020,0,"HOU","HOU-2020",-3,TRUE
"278",4720,"IND",87,"MIA",99,"202008240MIA",2020,0,"IND","IND-2020",-12,TRUE
"279",4721,"LAL",135,"POR",115,"202008240POR",2020,1,"LAL","LAL-2020",20,TRUE
"280",4722,"UTA",107,"DEN",117,"202008250DEN",2020,0,"UTA","UTA-2020",-10,TRUE
"281",4723,"DAL",111,"LAC",154,"202008250LAC",2020,0,"DAL","DAL-2020",-43,TRUE
"282",4724,"ORL",104,"MIL",118,"202008290MIL",2020,0,"ORL","ORL-2020",-14,TRUE
"283",4725,"OKC",80,"HOU",114,"202008290HOU",2020,0,"OKC","OKC-2020",-34,TRUE
"284",4726,"POR",122,"LAL",131,"202008290LAL",2020,0,"POR","POR-2020",-9,TRUE
"285",4727,"BOS",112,"TOR",94,"202008300TOR",2020,1,"BOS","BOS-2020",18,TRUE
"286",4728,"LAC",111,"DAL",97,"202008300DAL",2020,1,"LAC","LAC-2020",14,TRUE
"287",4729,"DEN",119,"UTA",107,"202008300UTA",2020,1,"DEN","DEN-2020",12,TRUE
"288",4730,"MIA",115,"MIL",104,"202008310MIL",2020,1,"MIA","MIA-2020",11,TRUE
"289",4731,"HOU",100,"OKC",104,"202008310OKC",2020,0,"HOU","HOU-2020",-4,TRUE
"290",4732,"BOS",102,"TOR",99,"202009010TOR",2020,1,"BOS","BOS-2020",3,TRUE
"291",4733,"UTA",78,"DEN",80,"202009010DEN",2020,0,"UTA","UTA-2020",-2,TRUE
"292",4734,"MIA",116,"MIL",114,"202009020MIL",2020,1,"MIA","MIA-2020",2,TRUE
"293",4735,"OKC",102,"HOU",104,"202009020HOU",2020,0,"OKC","OKC-2020",-2,TRUE
"294",4736,"TOR",104,"BOS",103,"202009030BOS",2020,1,"TOR","TOR-2020",1,TRUE
"295",4737,"DEN",97,"LAC",120,"202009030LAC",2020,0,"DEN","DEN-2020",-23,TRUE
"296",4738,"MIL",100,"MIA",115,"202009040MIA",2020,0,"MIL","MIL-2020",-15,TRUE
"297",4739,"HOU",112,"LAL",97,"202009040LAL",2020,1,"HOU","HOU-2020",15,TRUE
"298",4740,"TOR",100,"BOS",93,"202009050BOS",2020,1,"TOR","TOR-2020",7,TRUE
"299",4741,"DEN",110,"LAC",101,"202009050LAC",2020,1,"DEN","DEN-2020",9,TRUE
"300",4742,"MIL",118,"MIA",115,"202009060MIA",2020,1,"MIL","MIL-2020",3,TRUE
"301",4743,"HOU",109,"LAL",117,"202009060LAL",2020,0,"HOU","HOU-2020",-8,TRUE
"302",4744,"BOS",111,"TOR",89,"202009070TOR",2020,1,"BOS","BOS-2020",22,TRUE
"303",4745,"LAC",113,"DEN",107,"202009070DEN",2020,1,"LAC","LAC-2020",6,TRUE
"304",4746,"MIA",103,"MIL",94,"202009080MIL",2020,1,"MIA","MIA-2020",9,TRUE
"305",4747,"LAL",112,"HOU",102,"202009080HOU",2020,1,"LAL","LAL-2020",10,TRUE
"306",4748,"TOR",125,"BOS",122,"202009090BOS",2020,1,"TOR","TOR-2020",3,TRUE
"307",4749,"LAC",96,"DEN",85,"202009090DEN",2020,1,"LAC","LAC-2020",11,TRUE
"308",4750,"LAL",110,"HOU",100,"202009100HOU",2020,1,"LAL","LAL-2020",10,TRUE
"309",4751,"DEN",111,"LAC",105,"202009110LAC",2020,1,"DEN","DEN-2020",6,TRUE
"310",4752,"BOS",92,"TOR",87,"202009110TOR",2020,1,"BOS","BOS-2020",5,TRUE
"311",4753,"HOU",96,"LAL",119,"202009120LAL",2020,0,"HOU","HOU-2020",-23,TRUE
"312",4754,"LAC",98,"DEN",111,"202009130DEN",2020,0,"LAC","LAC-2020",-13,TRUE
"313",4755,"MIA",117,"BOS",114,"202009150BOS",2020,1,"MIA","MIA-2020",3,TRUE
"314",4756,"DEN",104,"LAC",89,"202009150LAC",2020,1,"DEN","DEN-2020",15,TRUE
"315",4757,"MIA",106,"BOS",101,"202009170BOS",2020,1,"MIA","MIA-2020",5,TRUE
"316",4758,"DEN",114,"LAL",126,"202009180LAL",2020,0,"DEN","DEN-2020",-12,TRUE
"317",4759,"BOS",117,"MIA",106,"202009190MIA",2020,1,"BOS","BOS-2020",11,TRUE
"318",4760,"DEN",103,"LAL",105,"202009200LAL",2020,0,"DEN","DEN-2020",-2,TRUE
